Cells,Ligand,Time,Concentration,RFU
Mem Th,IL2-060 monomeric,30.0,0.012802926000000001,1980.250244
Mem Th,IL2-060 monomeric,30.0,0.004267642,1997.300415
Mem Th,IL2-060 monomeric,30.0,0.0014225470000000001,1938.0885010000002
Mem Th,IL2-060 monomeric,30.0,0.00047418199999999997,1840.7402339999999
Mem Th,IL2-060 monomeric,60.0,84.0,21911.07813
Mem Th,IL2-060 monomeric,60.0,28.0,17708.34961
Mem Th,IL2-060 monomeric,60.0,9.333333332999999,11730.05273
Mem Th,IL2-060 monomeric,60.0,3.111111111,10104.39453
Mem Th,IL2-060 monomeric,60.0,1.037037037,3700.429199
Mem Th,IL2-060 monomeric,60.0,0.345679012,2500.277832
Mem Th,IL2-060 monomeric,60.0,0.115226337,1778.08252
Mem Th,IL2-060 monomeric,60.0,0.038408779,1849.637451
Mem Th,IL2-060 monomeric,60.0,0.012802926000000001,1804.923096
Mem Th,IL2-060 monomeric,60.0,0.004267642,1656.2578130000002
Mem Th,IL2-060 monomeric,60.0,0.0014225470000000001,1768.1036379999998
Mem Th,IL2-060 monomeric,60.0,0.00047418199999999997,1654.010498
Mem Th,IL2-060 monomeric,120.0,84.0,15702.91895
Mem Th,IL2-060 monomeric,120.0,28.0,12810.77051
Mem Th,IL2-060 monomeric,120.0,9.333333332999999,7352.799316
Mem Th,IL2-060 monomeric,120.0,3.111111111,7099.472168000001
Mem Th,IL2-060 monomeric,120.0,1.037037037,4083.2626950000003
Mem Th,IL2-060 monomeric,120.0,0.345679012,2475.858398
Mem Th,IL2-060 monomeric,120.0,0.115226337,1826.466064
Mem Th,IL2-060 monomeric,120.0,0.038408779,1931.5839839999999
Mem Th,IL2-060 monomeric,120.0,0.012802926000000001,1841.281982
Mem Th,IL2-060 monomeric,120.0,0.004267642,1818.133301
Mem Th,IL2-060 monomeric,120.0,0.0014225470000000001,1833.909668
Mem Th,IL2-060 monomeric,120.0,0.00047418199999999997,1789.609375
Mem Th,IL2-060 monomeric,240.0,84.0,26737.04492
Mem Th,IL2-060 monomeric,240.0,28.0,22123.0918
Mem Th,IL2-060 monomeric,240.0,9.333333332999999,17581.04492
Mem Th,IL2-060 monomeric,240.0,3.111111111,12657.60352
Mem Th,IL2-060 monomeric,240.0,1.037037037,10583.75781
Mem Th,IL2-060 monomeric,240.0,0.345679012,9765.426758
Mem Th,IL2-060 monomeric,240.0,0.115226337,5649.97168
Mem Th,IL2-060 monomeric,240.0,0.038408779,3174.876221
Mem Th,IL2-060 monomeric,240.0,0.012802926000000001,2200.043945
Mem Th,IL2-060 monomeric,240.0,0.004267642,1872.1357420000002
Mem Th,IL2-060 monomeric,240.0,0.0014225470000000001,1604.8126220000001
Mem Th,IL2-060 monomeric,240.0,0.00047418199999999997,1549.0063480000001
NK,Cterm IL-2 monomeric WT,30.0,84.0,1727.200439
NK,Cterm IL-2 monomeric WT,30.0,28.0,1575.56958
NK,Cterm IL-2 monomeric WT,30.0,9.333333332999999,736.4750366000001
NK,Cterm IL-2 monomeric WT,30.0,3.111111111,599.6741943
NK,Cterm IL-2 monomeric WT,30.0,1.037037037,645.1920776000001
NK,Cterm IL-2 monomeric WT,30.0,0.345679012,655.7686157
NK,Cterm IL-2 monomeric WT,30.0,0.115226337,584.1417847
NK,Cterm IL-2 monomeric WT,30.0,0.038408779,563.6767578
NK,Cterm IL-2 monomeric WT,30.0,0.012802926000000001,595.1552734
NK,Cterm IL-2 monomeric WT,30.0,0.004267642,558.8737792999999
NK,Cterm IL-2 monomeric WT,30.0,0.0014225470000000001,593.0952147999999
