Cells,Ligand,Time,Replicate,84,28,9.333333333,3.111111111,1.037037037,0.345679012,0.115226337,0.038408779,0.012802926,0.004267642,0.001422547,0.000474182
T-regulatory cells (naïve and memory combined),IL2-062,4,1,37533.7,29323.0,37195.6,31484.2,31409.9,30280.8,25725.0,19394.7,21788.8,22294.8,15308.0,5156.5
T-regulatory cells (naïve and memory combined),IL2-062,2,1,37860.4,38685.0,37403.5,31527.0,27612.9,28516.9,29451.8,38395.0,31087.5,25399.9,9812.4,5376.0
T-regulatory cells (naïve and memory combined),IL2-062,1,1,39854.1,39748.5,40590.5,40534.4,36814.5,40762.3,34625.2,36299.1,23225.2,19967.5,10271.7,5696.0
Naïve T-regulatory cells (CD45RA+),IL2-062,4,1,27909.3,26947.6,32333.2,24578.6,26579.7,29817.1,23133.5,16893.9,20584.5,21634.4,10718.5,4200.8
Naïve T-regulatory cells (CD45RA+),IL2-062,2,1,26934.8,29204.6,29003.4,28594.7,22260.5,18069.8,25702.7,33005.8,28398.2,23558.8,7259.9,5643.2
Naïve T-regulatory cells (CD45RA+),IL2-062,1,1,32985.9,30798.5,36536.1,30737.3,26464.6,34961.0,26099.9,30904.4,8202.6,13464.5,0.0,0.0
Memory T-regulatory cells (CD45RA-),IL2-062,4,1,42929.8,32747.3,42268.9,33906.9,33745.4,31465.1,26566.6,21010.2,23659.8,22018.9,16648.7,5658.6
Memory T-regulatory cells (CD45RA-),IL2-062,2,1,41665.5,45949.9,41329.1,33215.3,30300.9,31187.4,32518.5,40017.9,32479.6,25507.0,10057.1,5383.6
Memory T-regulatory cells (CD45RA-),IL2-062,1,1,44823.0,42707.0,44529.9,42876.0,38539.2,41670.9,36932.7,38045.6,24609.6,20776.1,9870.4,5534.1
Non-Treg T helper cells (Foxp3-) (naïve and memory combined),IL2-062,4,1,6791.9,6112.5,6556.8,5741.7,5695.7,7789.8,5156.9,4720.3,4711.9,4073.8,3596.5,3089.5
Non-Treg T helper cells (Foxp3-) (naïve and memory combined),IL2-062,2,1,5506.6,5950.1,5736.7,5676.9,4912.3,6618.7,5007.2,5513.6,4998.7,4588.8,4189.9,4350.1
Non-Treg T helper cells (Foxp3-) (naïve and memory combined),IL2-062,1,1,6193.8,6381.8,6113.6,6232.4,5825.1,6521.5,4685.6,4088.1,3009.6,2924.8,2297.5,2320.9
Naïve Non-Treg T helper cells (Foxp3-CD45RA+),IL2-062,4,1,5765.7,5196.3,5533.0,5032.8,4999.9,7255.1,4586.2,4231.0,4297.0,3781.4,3449.6,3066.3
Naïve Non-Treg T helper cells (Foxp3-CD45RA+),IL2-062,2,1,4844.0,5078.7,4997.1,5102.6,4395.7,6083.0,4475.8,4921.2,4650.3,4394.5,4011.5,4191.2
Naïve Non-Treg T helper cells (Foxp3-CD45RA+),IL2-062,1,1,5245.7,5236.7,5234.1,5458.7,5093.1,5722.8,4199.2,3775.5,2886.7,2821.7,2231.2,2288.9
