kfwd_log____0,k27rev_log____0,k33rev_log____0,endo_log____0,endo_log____1,sortF_logodds____0,kRec_kDeg_log____0,kRec_kDeg_log____1,scales_log____0,scales_log____1,kfwd__0,k27rev__0,k33rev__0,endo__0,endo__1,sortF__0,kRec_kDeg__0,kRec_kDeg__1,scales__0,scales__1,Y_int,logp
-4.191437016847016,-3.083151018473359,-1.5955051054397036,-2.277075048184882,-2.3433968988901235,-0.9576602976332269,-2.2536079747687436,-2.443733848315572,-2.0992183721913715,-3.336425402882702,0.015124535037697439,0.04581466610569343,0.20280606418085678,0.10258382105677502,0.09600097811290383,0.2773468867304995,0.10501963201095121,0.08683601288994168,0.12255218101928726,0.03556385724071958,0.2561939369435263,-61.34037698315663
-4.67031518404291,-3.9243614840302485,-2.228523879626077,-2.192781392542617,-2.345428886887306,-0.5104342799114789,-2.142571887696936,-2.4975099891358,-2.171611395596983,-3.5661893198191237,0.00936931600268161,0.01975474656647964,0.10768727224849159,0.11160589670832104,0.09580610333631688,0.37509172570176674,0.11735263676538417,0.0822896458434231,0.11399377975864038,0.02826335132338065,0.29000434838132144,-65.15937770787328
-3.1022888903412493,-3.0177396555427696,-2.602324879706503,-2.193459805313324,-2.4176449221263128,-0.6276624206896861,-2.0692206948247502,-2.441525349556213,-2.0722621687872804,-3.006740931813647,0.04494620762614832,0.0489116506859713,0.07410110165093231,0.11153020751986693,0.08913128158392111,0.34804076558033264,0.1262841572650772,0.08702800204254442,0.1259006507969815,0.04945258576358662,0.21254727408562407,-68.01763326307847
-5.951194373720872,-3.2101726255724405,-3.0030966828166767,-2.532910987131547,-2.323846350509518,-0.8139437461573004,-2.210972260422977,-2.408355069970411,-2.708321833970626,-4.003423863625134,0.002602730028885767,0.04034964728983393,0.049633132077702376,0.0794274710848158,0.09789631696712976,0.30705074460762793,0.10959404274926635,0.08996315602493755,0.0666485602680301,0.018253035872224578,0.36096076605711974,-67.20051665113144
-4.184762432924544,-1.9776426846847412,-3.0321533244861083,-2.22882015683406,-2.415582722297898,-0.12983671894101892,-2.29296672143778,-2.148135120029603,-2.3847788446838245,-3.7529385607496315,0.015225822666453495,0.13839509396111094,0.04821171081419925,0.10765537169007201,0.08931527775073546,0.4675863421117388,0.10096647767534435,0.11670158942514845,0.0921093477988633,0.023448738971235353,0.19087750514356708,-65.88754332214101
-3.5157600721618185,-3.3055713694248747,-0.6212018271506048,-2.2509016610851993,-2.3195799042732346,-0.9886576676666605,-2.239720459099447,-2.4091547624983307,-2.29385148184252,-2.9540619361142864,0.02972520106781727,0.036678249018153225,0.537298309708846,0.10530423301419332,0.0983148785906241,0.2711772949378434,0.10648826804532571,0.08989124191969512,0.10087718604036748,0.052127536607504285,0.1956259763636912,-63.000889100112055
-4.756738639607752,-2.5558362864386446,-4.771412160286936,-2.3896488066635073,-2.319525739384888,-0.696009016709338,-2.214791319803958,-2.2012662654759936,-2.3002789921902043,-3.7603068508022215,0.008593590540216106,0.07762728626766732,0.008468412955667321,0.09166186926322326,0.09832020394926819,0.33269767337086614,0.10917629480205862,0.11066294094324279,0.10023087618994919,0.02327659683654054,0.2231053234468911,-62.66446567771489
-3.4538945379092416,-3.3693045751207875,-0.3194920746549959,-2.3447316098372535,-2.2604041388773735,-0.7856805496115766,-2.358167256326143,-2.334646116077691,-2.361012724220747,-2.487922471936623,0.031622242231296005,0.03441356107048178,0.7265179602586574,0.09587293002908027,0.10430832118754509,0.3130968908240239,0.09459342993634536,0.09684474826242624,0.0943246499521811,0.08308239340623853,0.2503287125413084,-62.86691814588369
-3.825738636005436,-2.145882292805325,-0.9395222190869638,-2.4383123341777106,-2.2873444042623907,-1.5923367244604756,-2.431604482210962,-2.260579216961813,-2.125808311185365,-3.123929334574371,0.021802325599397473,0.11696479430916729,0.39081451447466414,0.08730807404835549,0.10153574202973777,0.16905539011756426,0.08789569230939219,0.10429006068503402,0.11933646826883626,0.0439840005711268,0.2243173414114877,-66.32796662270464
-4.3109427364920085,-3.1220617252538805,-0.8629309005593518,-2.6739496679390533,-2.430894670548607,-1.5561762963948982,-2.4254832944439024,-2.317324986473258,-2.2366792403102305,-3.3719179767060568,0.013420891264497806,0.044066222255639206,0.42192365207845567,0.06897924146797274,0.08795810384446145,0.1741960084571811,0.08843536839015571,0.0985368206969221,0.10681261512215764,0.034323742033153706,0.20100301516206368,-70.96153765871223
